open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1672566900000,1196.08000000,1196.55000000,1196.01000000,1196.48,266.331,1672567199999,318615.53008100,861,119.54300000,143000.76565800,0
1672567200000,1196.47000000,1196.48000000,1196.00000000,1196.01,123.914,1672567499999,148226.88324400,651,30.31320000,36259.68237900,0
1672567500000,1196.01000000,1196.01000000,1195.70000000,1195.83,220.5222,1672567799999,263697.30870900,628,90.87320000,108664.16607500,0
1672567800000,1195.83000000,1196.30000000,1195.83000000,1196.29,144.6139,1672568099999,172964.51551600,628,102.63540000,122752.29446000,0
1672568100000,1196.29000000,1196.34000000,1196.13000000,1196.13,180.4701,1672568399999,215891.84200200,537,87.75880000,104984.05793900,0
1672568400000,1196.14000000,1196.22000000,1195.98000000,1196.22,140.7927,1672568699999,168392.04827700,585,79.05930000,94556.82165100,0
1672568700000,1196.22000000,1196.22000000,1196.21000000,1196.21,58.8415,1672568999999,70387.10138500,468,31.06700000,37162.96674000,0
1672569000000,1196.22000000,1196.22000000,1195.73000000,1195.74,162.2266,1672569299999,194024.70815200,534,18.12530000,21675.58269500,0
1672569300000,1195.74000000,1195.82000000,1195.60000000,1195.68,243.1785,1672569599999,290776.61445900,626,98.33550000,117579.07774700,0
1672569600000,1195.69000000,1195.69000000,1195.59000000,1195.66,151.109,1672569899999,180669.41702100,561,89.43710000,106932.74990200,0
1672569900000,1195.66000000,1195.70000000,1195.66000000,1195.69,39.8235,1672570199999,47616.33092100,442,25.32370000,30279.28514400,0
1672570200000,1195.70000000,1196.08000000,1195.69000000,1196.07,154.2411,1672570499999,184453.57120300,558,120.05320000,143566.00699200,0
1672570500000,1196.08000000,1197.19000000,1196.07000000,1197.14,386.8478,1672570799999,462928.10544300,807,244.51280000,292583.02239600,0
1672570800000,1197.14000000,1197.23000000,1196.75000000,1196.75,360.5453,1672571099999,431579.81077800,712,109.02310000,130509.99509600,0
1672571100000,1196.75000000,1197.14000000,1196.59000000,1197.14,370.5801,1672571399999,443536.50341400,785,229.94970000,275220.96736200,0
1672571400000,1197.13000000,1197.41000000,1196.92000000,1196.92,327.7631,1672571699999,392418.94962300,744,205.70780000,246286.91135400,0
1672571700000,1196.93000000,1196.93000000,1196.08000000,1196.28,274.9851,1672571999999,328971.88947200,754,113.47640000,135738.10163800,0
